age,male,female
0,1478004,1419533
1,1478004,1419533
2,1478004,1419533
3,1478004,1419533
4,1478004,1419533
5,1513078,1455036
6,1513078,1455036
7,1513078,1455036
8,1513078,1455036
9,1513078,1455036
10,1614527,1555774
11,1614527,1555774
12,1614527,1555774
13,1614527,1555774
14,1614527,1555774
15,1719322,1665594
16,1719322,1665594
17,1719322,1665594
18,1719322,1665594
19,1719322,1665594
20,1675416,1642947
21,1675416,1642947
22,1675416,1642947
23,1675416,1642947
24,1675416,1642947
25,1709861,1698372
26,1709861,1698372
27,1709861,1698372
28,1709861,1698372
29,1709861,1698372
30,1711576,1722472
31,1711576,1722472
32,1711576,1722472
33,1711576,1722472
34,1711576,1722472
35,1559303,1591638
36,1559303,1591638
37,1559303,1591638
38,1559303,1591638
39,1559303,1591638
40,1376336,1420347
41,1376336,1420347
42,1376336,1420347
43,1376336,1420347
44,1376336,1420347
45,1248366,1302329
46,1248366,1302329
47,1248366,1302329
48,1248366,1302329
49,1248366,1302329
50,1161742,1228635
51,1161742,1228635
52,1161742,1228635
53,1161742,1228635
54,1161742,1228635
55,977370,1055783
56,977370,1055783
57,977370,1055783
58,977370,1055783
59,977370,1055783
60,766224,856133
61,766224,856133
62,766224,856133
63,766224,856133
64,766224,856133
65,551847,642560
66,551847,642560
67,551847,642560
68,551847,642560
69,551847,642560
70,386842,460880
71,386842,460880
72,386842,460880
73,386842,460880
74,386842,460880
75,249837,336488
76,249837,336488
77,249837,336488
78,249837,336488
79,249837,336488
80,135494,217904
81,135494,217904
82,135494,217904
83,135494,217904
84,135494,217904
85,59939,105872
86,59939,105872
87,59939,105872
88,59939,105872
89,59939,105872
90,18314,32522
91,18314,32522
92,18314,32522
93,18314,32522
94,18314,32522
95,3612,6088
96,3612,6088
97,3612,6088
98,3612,6088
99,3612,6088
100,2391,3546
