age,male,female
0,9747500,8403056
1,9747500,8403056
2,9747500,8403056
3,9747500,8403056
4,9747500,8403056
5,9196664,7841333
6,9196664,7841333
7,9196664,7841333
8,9196664,7841333
9,9196664,7841333
10,8610316,7350306
11,8610316,7350306
12,8610316,7350306
13,8610316,7350306
14,8610316,7350306
15,8988492,7773988
16,8988492,7773988
17,8988492,7773988
18,8988492,7773988
19,8988492,7773988
20,10568145,9385993
21,10568145,9385993
22,10568145,9385993
23,10568145,9385993
24,10568145,9385993
25,12823861,11754741
26,12823861,11754741
27,12823861,11754741
28,12823861,11754741
29,12823861,11754741
30,10703616,10062987
31,10703616,10062987
32,10703616,10062987
33,10703616,10062987
34,10703616,10062987
35,9630879,9173987
36,9630879,9173987
37,9630879,9173987
38,9630879,9173987
39,9630879,9173987
40,12042140,11614490
41,12042140,11614490
42,12042140,11614490
43,12042140,11614490
44,12042140,11614490
45,12304062,12030569
46,12304062,12030569
47,12304062,12030569
48,12304062,12030569
49,12304062,12030569
50,10037410,9947453
51,10037410,9947453
52,10037410,9947453
53,10037410,9947453
54,10037410,9947453
55,7763070,7881827
56,7763070,7881827
57,7763070,7881827
58,7763070,7881827
59,7763070,7881827
60,7544408,7973691
61,7544408,7973691
62,7544408,7973691
63,7544408,7973691
64,7544408,7973691
65,5043672,5356777
66,5043672,5356777
67,5043672,5356777
68,5043672,5356777
69,5043672,5356777
70,3331212,3651608
71,3331212,3651608
72,3331212,3651608
73,3331212,3651608
74,3331212,3651608
75,2382593,2821868
76,2382593,2821868
77,2382593,2821868
78,2382593,2821868
79,2382593,2821868
80,1414065,1957787
81,1414065,1957787
82,1414065,1957787
83,1414065,1957787
84,1414065,1957787
85,572530,975845
86,572530,975845
87,572530,975845
88,572530,975845
89,572530,975845
90,141481,347873
91,141481,347873
92,141481,347873
93,141481,347873
94,141481,347873
95,12075,58296
96,12075,58296
97,12075,58296
98,12075,58296
99,12075,58296
100,729,20100
