age,male,female
0,443616,421039
1,443616,421039
2,443616,421039
3,443616,421039
4,443616,421039
5,434216,412901
6,434216,412901
7,434216,412901
8,434216,412901
9,434216,412901
10,408130,386262
11,408130,386262
12,408130,386262
13,408130,386262
14,408130,386262
15,491689,466878
16,491689,466878
17,491689,466878
18,491689,466878
19,491689,466878
20,676691,644057
21,676691,644057
22,676691,644057
23,676691,644057
24,676691,644057
25,696713,656965
26,696713,656965
27,696713,656965
28,696713,656965
29,696713,656965
30,608980,577194
31,608980,577194
32,608980,577194
33,608980,577194
34,608980,577194
35,563785,547214
36,563785,547214
37,563785,547214
38,563785,547214
39,563785,547214
40,479261,456797
41,479261,456797
42,479261,456797
43,479261,456797
44,479261,456797
45,595998,566572
46,595998,566572
47,595998,566572
48,595998,566572
49,595998,566572
50,588599,569988
51,588599,569988
52,588599,569988
53,588599,569988
54,588599,569988
55,449828,452529
56,449828,452529
57,449828,452529
58,449828,452529
59,449828,452529
60,383394,470648
61,383394,470648
62,383394,470648
63,383394,470648
64,383394,470648
65,289080,480234
66,289080,480234
67,289080,480234
68,289080,480234
69,289080,480234
70,157783,290778
71,157783,290778
72,157783,290778
73,157783,290778
74,157783,290778
75,183021,376876
76,183021,376876
77,183021,376876
78,183021,376876
79,183021,376876
80,108190,255248
81,108190,255248
82,108190,255248
83,108190,255248
84,108190,255248
85,42360,117572
86,42360,117572
87,42360,117572
88,42360,117572
89,42360,117572
90,9106,34190
91,9106,34190
92,9106,34190
93,9106,34190
94,9106,34190
95,1230,5313
96,1230,5313
97,1230,5313
98,1230,5313
99,1230,5313
100,487,1937
