age,male,female
0,421116,405276
1,421116,405276
2,421116,405276
3,421116,405276
4,421116,405276
5,328946,317035
6,328946,317035
7,328946,317035
8,328946,317035
9,328946,317035
10,273779,265936
11,273779,265936
12,273779,265936
13,273779,265936
14,273779,265936
15,307146,297819
16,307146,297819
17,307146,297819
18,307146,297819
19,307146,297819
20,331886,319060
21,331886,319060
22,331886,319060
23,331886,319060
24,331886,319060
25,327871,321653
26,327871,321653
27,327871,321653
28,327871,321653
29,327871,321653
30,266211,265815
31,266211,265815
32,266211,265815
33,266211,265815
34,266211,265815
35,236135,239709
36,236135,239709
37,236135,239709
38,236135,239709
39,236135,239709
40,302611,305754
41,302611,305754
42,302611,305754
43,302611,305754
44,302611,305754
45,302305,305967
46,302305,305967
47,302305,305967
48,302305,305967
49,302305,305967
50,274545,291157
51,274545,291157
52,274545,291157
53,274545,291157
54,274545,291157
55,199705,267510
56,199705,267510
57,199705,267510
58,199705,267510
59,199705,267510
60,168098,237042
61,168098,237042
62,168098,237042
63,168098,237042
64,168098,237042
65,144104,211176
66,144104,211176
67,144104,211176
68,144104,211176
69,144104,211176
70,112357,169517
71,112357,169517
72,112357,169517
73,112357,169517
74,112357,169517
75,77964,122002
76,77964,122002
77,77964,122002
78,77964,122002
79,77964,122002
80,34167,61061
81,34167,61061
82,34167,61061
83,34167,61061
84,34167,61061
85,11087,24056
86,11087,24056
87,11087,24056
88,11087,24056
89,11087,24056
90,2011,5608
91,2011,5608
92,2011,5608
93,2011,5608
94,2011,5608
95,172,633
96,172,633
97,172,633
98,172,633
99,172,633
100,55,199
