age,male,female
0,463786,441119
1,463786,441119
2,463786,441119
3,463786,441119
4,463786,441119
5,478648,457108
6,478648,457108
7,478648,457108
8,478648,457108
9,478648,457108
10,436962,411043
11,436962,411043
12,436962,411043
13,436962,411043
14,436962,411043
15,398078,377995
16,398078,377995
17,398078,377995
18,398078,377995
19,398078,377995
20,425571,416893
21,425571,416893
22,425571,416893
23,425571,416893
24,425571,416893
25,369900,367017
26,369900,367017
27,369900,367017
28,369900,367017
29,369900,367017
30,338537,323957
31,338537,323957
32,338537,323957
33,338537,323957
34,338537,323957
35,321327,314090
36,321327,314090
37,321327,314090
38,321327,314090
39,321327,314090
40,332502,333259
41,332502,333259
42,332502,333259
43,332502,333259
44,332502,333259
45,348465,356934
46,348465,356934
47,348465,356934
48,348465,356934
49,348465,356934
50,320173,339006
51,320173,339006
52,320173,339006
53,320173,339006
54,320173,339006
55,323815,348533
56,323815,348533
57,323815,348533
58,323815,348533
59,323815,348533
60,301929,343546
61,301929,343546
62,301929,343546
63,301929,343546
64,301929,343546
65,243123,306978
66,243123,306978
67,243123,306978
68,243123,306978
69,243123,306978
70,158527,248293
71,158527,248293
72,158527,248293
73,158527,248293
74,158527,248293
75,94053,176930
76,94053,176930
77,94053,176930
78,94053,176930
79,94053,176930
80,50035,112437
81,50035,112437
82,50035,112437
83,50035,112437
84,50035,112437
85,19987,53230
86,19987,53230
87,19987,53230
88,19987,53230
89,19987,53230
90,4806,15837
91,4806,15837
92,4806,15837
93,4806,15837
94,4806,15837
95,647,2725
96,647,2725
97,647,2725
98,647,2725
99,647,2725
100,203,1157
