age,male,female
0,13803239,12565587
1,13803239,12565587
2,13803239,12565587
3,13803239,12565587
4,13803239,12565587
5,13043050,11941474
6,13043050,11941474
7,13043050,11941474
8,13043050,11941474
9,13043050,11941474
10,12430009,11441471
11,12430009,11441471
12,12430009,11441471
13,12430009,11441471
14,12430009,11441471
15,11396478,10451373
16,11396478,10451373
17,11396478,10451373
18,11396478,10451373
19,11396478,10451373
20,10029793,9214633
21,10029793,9214633
22,10029793,9214633
23,10029793,9214633
24,10029793,9214633
25,8888456,8219645
26,8888456,8219645
27,8888456,8219645
28,8888456,8219645
29,8888456,8219645
30,7838254,7263492
31,7838254,7263492
32,7838254,7263492
33,7838254,7263492
34,7838254,7263492
35,7022394,6480063
36,7022394,6480063
37,7022394,6480063
38,7022394,6480063
39,7022394,6480063
40,6186258,5681497
41,6186258,5681497
42,6186258,5681497
43,6186258,5681497
44,6186258,5681497
45,5205961,4802218
46,5205961,4802218
47,5205961,4802218
48,5205961,4802218
49,5205961,4802218
50,3823652,3647766
51,3823652,3647766
52,3823652,3647766
53,3823652,3647766
54,3823652,3647766
55,2964128,2946236
56,2964128,2946236
57,2964128,2946236
58,2964128,2946236
59,2964128,2946236
60,2438598,2526700
61,2438598,2526700
62,2438598,2526700
63,2438598,2526700
64,2438598,2526700
65,1843609,1969745
66,1843609,1969745
67,1843609,1969745
68,1843609,1969745
69,1843609,1969745
70,1267944,1374569
71,1267944,1374569
72,1267944,1374569
73,1267944,1374569
74,1267944,1374569
75,744325,867101
76,744325,867101
77,744325,867101
78,744325,867101
79,744325,867101
80,356196,470074
81,356196,470074
82,356196,470074
83,356196,470074
84,356196,470074
85,128869,197705
86,128869,197705
87,128869,197705
88,128869,197705
89,128869,197705
90,33631,60550
91,33631,60550
92,33631,60550
93,33631,60550
94,33631,60550
95,5277,10639
96,5277,10639
97,5277,10639
98,5277,10639
99,5277,10639
100,2824,6615
