age,male,female
0,605386,575571
1,605386,575571
2,605386,575571
3,605386,575571
4,605386,575571
5,614414,585486
6,614414,585486
7,614414,585486
8,614414,585486
9,614414,585486
10,701505,667191
11,701505,667191
12,701505,667191
13,701505,667191
14,701505,667191
15,790557,752291
16,790557,752291
17,790557,752291
18,790557,752291
19,790557,752291
20,945365,911306
21,945365,911306
22,945365,911306
23,945365,911306
24,945365,911306
25,986030,950161
26,986030,950161
27,986030,950161
28,986030,950161
29,986030,950161
30,854065,807814
31,854065,807814
32,854065,807814
33,854065,807814
34,854065,807814
35,809148,765418
36,809148,765418
37,809148,765418
38,809148,765418
39,809148,765418
40,814747,783013
41,814747,783013
42,814747,783013
43,814747,783013
44,814747,783013
45,1014911,991459
46,1014911,991459
47,1014911,991459
48,1014911,991459
49,1014911,991459
50,976242,967189
51,976242,967189
52,976242,967189
53,976242,967189
54,976242,967189
55,880710,893716
56,880710,893716
57,880710,893716
58,880710,893716
59,880710,893716
60,746998,788646
61,746998,788646
62,746998,788646
63,746998,788646
64,746998,788646
65,648160,722957
66,648160,722957
67,648160,722957
68,648160,722957
69,648160,722957
70,499049,620361
71,499049,620361
72,499049,620361
73,499049,620361
74,499049,620361
75,285332,471989
76,285332,471989
77,285332,471989
78,285332,471989
79,285332,471989
80,169501,313088
81,169501,313088
82,169501,313088
83,169501,313088
84,169501,313088
85,85893,191563
86,85893,191563
87,85893,191563
88,85893,191563
89,85893,191563
90,25062,69675
91,25062,69675
92,25062,69675
93,25062,69675
94,25062,69675
95,5342,20053
96,5342,20053
97,5342,20053
98,5342,20053
99,5342,20053
100,1361,10989
