age,male,female
0,237710,217913
1,237710,217913
2,237710,217913
3,237710,217913
4,237710,217913
5,248619,224617
6,248619,224617
7,248619,224617
8,248619,224617
9,248619,224617
10,328824,294002
11,328824,294002
12,328824,294002
13,328824,294002
14,328824,294002
15,376184,324573
16,376184,324573
17,376184,324573
18,376184,324573
19,376184,324573
20,348202,294766
21,348202,294766
22,348202,294766
23,348202,294766
24,348202,294766
25,382298,345418
26,382298,345418
27,382298,345418
28,382298,345418
29,382298,345418
30,396408,369707
31,396408,369707
32,396408,369707
33,396408,369707
34,396408,369707
35,425411,402402
36,425411,402402
37,425411,402402
38,425411,402402
39,425411,402402
40,434837,415268
41,434837,415268
42,434837,415268
43,434837,415268
44,434837,415268
45,422960,402931
46,422960,402931
47,422960,402931
48,422960,402931
49,422960,402931
50,399158,387011
51,399158,387011
52,399158,387011
53,399158,387011
54,399158,387011
55,294467,291033
56,294467,291033
57,294467,291033
58,294467,291033
59,294467,291033
60,220825,224748
61,220825,224748
62,220825,224748
63,220825,224748
64,220825,224748
65,174573,194907
66,174573,194907
67,174573,194907
68,174573,194907
69,174573,194907
70,140576,177575
71,140576,177575
72,140576,177575
73,140576,177575
74,140576,177575
75,88150,136086
76,88150,136086
77,88150,136086
78,88150,136086
79,88150,136086
80,40674,83456
81,40674,83456
82,40674,83456
83,40674,83456
84,40674,83456
85,15286,42010
86,15286,42010
87,15286,42010
88,15286,42010
89,15286,42010
90,3566,13913
91,3566,13913
92,3566,13913
93,3566,13913
94,3566,13913
95,441,3384
96,441,3384
97,441,3384
98,441,3384
99,441,3384
100,146,3040
