age,male,female
0,730105,736862
1,730105,736862
2,730105,736862
3,730105,736862
4,730105,736862
5,541286,559873
6,541286,559873
7,541286,559873
8,541286,559873
9,541286,559873
10,507009,494775
11,507009,494775
12,507009,494775
13,507009,494775
14,507009,494775
15,449953,435396
16,449953,435396
17,449953,435396
18,449953,435396
19,449953,435396
20,388093,379106
21,388093,379106
22,388093,379106
23,388093,379106
24,388093,379106
25,330535,327277
26,330535,327277
27,330535,327277
28,330535,327277
29,330535,327277
30,284427,282840
31,284427,282840
32,284427,282840
33,284427,282840
34,284427,282840
35,243250,243201
36,243250,243201
37,243250,243201
38,243250,243201
39,243250,243201
40,201911,205069
41,201911,205069
42,201911,205069
43,201911,205069
44,201911,205069
45,164286,171638
46,164286,171638
47,164286,171638
48,164286,171638
49,164286,171638
50,134118,145088
51,134118,145088
52,134118,145088
53,134118,145088
54,134118,145088
55,109924,123269
56,109924,123269
57,109924,123269
58,109924,123269
59,109924,123269
60,88751,102788
61,88751,102788
62,88751,102788
63,88751,102788
64,88751,102788
65,61213,75094
66,61213,75094
67,61213,75094
68,61213,75094
69,61213,75094
70,36136,47721
71,36136,47721
72,36136,47721
73,36136,47721
74,36136,47721
75,17261,25381
76,17261,25381
77,17261,25381
78,17261,25381
79,17261,25381
80,6124,10388
81,6124,10388
82,6124,10388
83,6124,10388
84,6124,10388
85,1310,2865
86,1310,2865
87,1310,2865
88,1310,2865
89,1310,2865
90,133,450
91,133,450
92,133,450
93,133,450
94,133,450
95,5,17
96,5,17
97,5,17
98,5,17
99,5,17
100,0,3
