age,male,female
0,1999620,1909456
1,1999620,1909456
2,1999620,1909456
3,1999620,1909456
4,1999620,1909456
5,1989165,1889333
6,1989165,1889333
7,1989165,1889333
8,1989165,1889333
9,1989165,1889333
10,2178925,2050997
11,2178925,2050997
12,2178925,2050997
13,2178925,2050997
14,2178925,2050997
15,2148928,2001800
16,2148928,2001800
17,2148928,2001800
18,2148928,2001800
19,2148928,2001800
20,2149254,1999162
21,2149254,1999162
22,2149254,1999162
23,2149254,1999162
24,2149254,1999162
25,2002108,1868955
26,2002108,1868955
27,2002108,1868955
28,2002108,1868955
29,2002108,1868955
30,2114851,1996074
31,2114851,1996074
32,2114851,1996074
33,2114851,1996074
34,2114851,1996074
35,2197578,2105518
36,2197578,2105518
37,2197578,2105518
38,2197578,2105518
39,2197578,2105518
40,2347776,2283106
41,2347776,2283106
42,2347776,2283106
43,2347776,2283106
44,2347776,2283106
45,2176443,2187499
46,2176443,2187499
47,2176443,2187499
48,2176443,2187499
49,2176443,2187499
50,1871368,1913168
51,1871368,1913168
52,1871368,1913168
53,1871368,1913168
54,1871368,1913168
55,1562271,1615041
56,1562271,1615041
57,1562271,1615041
58,1562271,1615041
59,1562271,1615041
60,1149509,1256134
61,1149509,1256134
62,1149509,1256134
63,1149509,1256134
64,1149509,1256134
65,916359,1023462
66,916359,1023462
67,916359,1023462
68,916359,1023462
69,916359,1023462
70,767128,927107
71,767128,927107
72,767128,927107
73,767128,927107
74,767128,927107
75,606897,841058
76,606897,841058
77,606897,841058
78,606897,841058
79,606897,841058
80,402928,651599
81,402928,651599
82,402928,651599
83,402928,651599
84,402928,651599
85,189330,386339
86,189330,386339
87,189330,386339
88,189330,386339
89,189330,386339
90,62587,172421
91,62587,172421
92,62587,172421
93,62587,172421
94,62587,172421
95,12521,48855
96,12521,48855
97,12521,48855
98,12521,48855
99,12521,48855
100,6378,38564
