age,male,female
0,60641146,57692185
1,60641146,57692185
2,60641146,57692185
3,60641146,57692185
4,60641146,57692185
5,54017252,51493303
6,54017252,51493303
7,54017252,51493303
8,54017252,51493303
9,54017252,51493303
10,53402215,51004765
11,53402215,51004765
12,53402215,51004765
13,53402215,51004765
14,53402215,51004765
15,49711855,47656631
16,49711855,47656631
17,49711855,47656631
18,49711855,47656631
19,49711855,47656631
20,43891832,42289711
21,43891832,42289711
22,43891832,42289711
23,43891832,42289711
24,43891832,42289711
25,39591204,38392457
26,39591204,38392457
27,39591204,38392457
28,39591204,38392457
29,39591204,38392457
30,34666650,33799058
31,34666650,33799058
32,34666650,33799058
33,34666650,33799058
34,34666650,33799058
35,27626157,26867675
36,27626157,26867675
37,27626157,26867675
38,27626157,26867675
39,27626157,26867675
40,23331581,22815188
41,23331581,22815188
42,23331581,22815188
43,23331581,22815188
44,23331581,22815188
45,21665687,21473914
46,21665687,21473914
47,21665687,21473914
48,21665687,21473914
49,21665687,21473914
50,18998360,19237638
51,18998360,19237638
52,18998360,19237638
53,18998360,19237638
54,18998360,19237638
55,16301784,17313807
56,16301784,17313807
57,16301784,17313807
58,16301784,17313807
59,16301784,17313807
60,12638501,14468698
61,12638501,14468698
62,12638501,14468698
63,12638501,14468698
64,12638501,14468698
65,9040266,10976186
66,9040266,10976186
67,9040266,10976186
68,9040266,10976186
69,9040266,10976186
70,6921278,9358850
71,6921278,9358850
72,6921278,9358850
73,6921278,9358850
74,6921278,9358850
75,4185509,6421102
76,4185509,6421102
77,4185509,6421102
78,4185509,6421102
79,4185509,6421102
80,2007780,3626019
81,2007780,3626019
82,2007780,3626019
83,2007780,3626019
84,2007780,3626019
85,684885,1493527
86,684885,1493527
87,684885,1493527
88,684885,1493527
89,684885,1493527
90,167455,438036
91,167455,438036
92,167455,438036
93,167455,438036
94,167455,438036
95,27803,85457
96,27803,85457
97,27803,85457
98,27803,85457
99,27803,85457
100,12670,45796
